FLD,SuggestedName
22DIMETHYLBUTANE,"2,2-Dimethylbutane"
DEE,Diethyl ether
AMMONIA,Ammonia
VINYLCHLORIDE,Chloroethylene
R116,Perfluoroethane
R1234ZEZ,"(Z)-1,3,3,3-Tetrafluoro-1-propene"
R143A,"1,1,1-Trifluoroethane"
R134A,"1,1,1,2-Tetrafluoroethane"
MSTEARAT,Methyl octadecanoate
MD2M,Decamethyltetrasiloxane
CYCLOHEX,Cyclohexane
PARAHYD,Parahydrogen
R114,"1,2-Dichloro-1,1,2,2-tetrafluoroethane"
OXYGEN,Oxygen
CYCLOBUTENE,Cyclobutene
N2O,Dinitrogen monoxide
R115,Chloropentafluoroethane
PENTANE,Pentane
R142B,"1-Chloro-1,1-difluoroethane"
23DIMETHYLBUTANE,"2,3-Dimethylbutane"
ISOBUTAN,2-Methylpropane
NF3,Nitrogen trifluoride
MD3M,Dodecamethylpentasiloxane
CHLORINE,Chlorine
ARGON,Argon
MXYLENE,"1,3-Dimethylbenzene"
NEOPENTN,"2,2-Dimethylpropane"
METHANE,Methane
CF3I,Trifluoroiodomethane
R113,"1,1,2-Trichloro-1,2,2-trifluoroethane"
SF6,Sulfur hexafluoride
DEA,Diethanolamine
COS,Carbon oxide sulfide
CO2,Carbon dioxide
1BUTENE,1-Butene
R1233ZDE,"(E)-1-Chloro-3,3,3-trifluoro-1-propene"
R236EA,"1,1,1,2,3,3-Hexafluoropropane"
ACETONE,Acetone
RE245CB2,1-Methoxyperfluoroethane
MLINOLEA,Methyl linoleate
MD4M,Tetradecamethylhexasiloxane
METHANOL,Methanol
R12,Dichlorodifluoromethane
R245FA,"1,1,1,3,3-Pentafluoropropane"
C3CC6,Propylcyclohexane
ETHYLENEOXIDE,Ethylene oxide
IHEXANE,2-Methylpentane
R1224YDZ,"(Z)-1-Chloro-2,3,3,3-tetrafluoro-1-propene"
R13,Chlorotrifluoromethane
R161,Fluoroethane
RC318,Perfluorocyclobutane
HEXANE,Hexane
1BUTYNE,1-Butyne
CO,Carbon monoxide
CYCLOPEN,Cyclopentane
R11,Trichlorofluoromethane
IPENTANE,2-Methylbutane
NONANE,Nonane
PROPYLEN,1-Propene
KRYPTON,Krypton
T2BUTENE,(E)-2-Butene
MDM,Octamethyltrisiloxane
R1123,Trifluoroethylene
R14,Tetrafluoromethane
R1336MZZZ,"(Z)-1,1,1,4,4,4-Hexafluoro-2-butene"
R152A,"1,1-Difluoroethane"
13BUTADIENE,"1,3-Butadiene"
ETHYLENE,Ethylene
TOLUENE,Toluene
C22,Docosane
HCL,Hydrogen chloride
C1CC6,Methylcyclohexane
C6F14,Perfluorohexane
BENZENE,Benzene
HEPTANE,Heptane
HYDROGEN,Hydrogen (normal)
C4F10,Perfluorobutane
CHLOROBENZENE,Chlorobenzene
R365MFC,"1,1,1,3,3-Pentafluorobutane"
OCTANE,Octane
MOLEATE,Methyl oleate
RE347MCC,1-Methoxyperfluoropropane
EBENZENE,Ethylbenzene
R32,Difluoromethane
C11,Undecane
DME,Dimethyl ether
IOCTANE,"2,2,4-Trimethylpentane"
MM,Hexamethyldisiloxane
IBUTENE,2-Methyl-1-propene
PROPYNE,1-Propyne
ETHANE,Ethane
HELIUM,Helium-4
ETHANOL,Ethanol
C12,Dodecane
DECANE,Decane
CYCLOPRO,Cyclopropane
MLINOLEN,Methyl linolenate
C16,Hexadecane
R21,Dichlorofluoromethane
BUTANE,Butane
RE143A,Trifluoromethoxymethane
ORTHOHYD,Orthohydrogen
MEA,Monoethanolamine
DMC,Dimethyl carbonate
NEON,Neon
R218,Perfluoropropane
OXYLENE,"1,2-Dimethylbenzene"
SO2,Sulfur dioxide
1PENTENE,1-Pentene
R22,Chlorodifluoromethane
R150,"1,2-Dichloroethane"
R23,Trifluoromethane
EGLYCOL,"1,2-Ethanediol"
NITROGEN,Nitrogen
R1243ZF,"3,3,3-Trifluoro-1-propene"
D4,Octamethylcyclotetrasiloxane
R1234ZEE,"(E)-1,3,3,3-Tetrafluoro-1-propene"
D2O,Deuterium oxide
PXYLENE,"1,4-Dimethylbenzene"
R123,"2,2-Dichloro-1,1,1-trifluoroethane"
R236FA,"1,1,1,3,3,3-Hexafluoropropane"
D5,Decamethylcyclopentasiloxane
R141B,"1,1-Dichloro-1-fluoroethane"
C2BUTENE,(Z)-2-Butene
PROPANE,Propane
RE245FA2,"2-(Difluoromethoxy)-1,1,1-trifluoroethane"
D6,Dodecamethylcyclohexasiloxane
ACETYLENE,Ethyne
FLUORINE,Fluorine
PROPYLENEOXIDE,Propylene oxide
H2S,Hydrogen sulfide
D2,Deuterium
R245CA,"1,1,2,2,3-Pentafluoropropane"
R124,"2-Chloro-1,1,1,2-tetrafluoroethane"
XENON,Xenon
R1216,Perfluoropropene
NOVEC649,"1,1,1,2,2,4,5,5,5-Nonafluoro-4-(trifluoromethyl)-3-pentanone"
R125,Pentafluoroethane
PROPADIENE,"1,2-Propadiene"
MPALMITA,Methyl hexadecanoate
R227EA,"1,1,1,2,3,3,3-Heptafluoropropane"
R41,Fluoromethane
WATER,Water
R40,Chloromethane
3METHYLPENTANE,3-Methylpentane
R1234YF,"2,3,3,3-Tetrafluoro-1-propene"
C5F12,Perfluoropentane
